CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_09_good.c,102,4,55,1
CWE127_Buffer_Underread__char_alloca_memcpy_05_good.c,148,7,1091,1
CWE190_Integer_Overflow__char_fscanf_preinc_13_good.c,87,3,1707,1
CWE259_Hard_Coded_Password__w32_wchar_t_02_good.c,117,18,63,1
CWE122_Heap_Based_Buffer_Overflow__CWE131_memmove_02_good.c,116,3,111,1
CWE134_Uncontrolled_Format_String__wchar_t_console_vprintf_09_good.c,201,13,43,1
CWE124_Buffer_Underwrite__wchar_t_declare_memcpy_03_good.c,143,7,1091,1
CWE190_Integer_Overflow__int_fgets_add_01_good.c,94,3,1707,1
CWE134_Uncontrolled_Format_String__wchar_t_environment_snprintf_02_good.c,136,24,58,1
CWE415_Double_Free__malloc_free_char_04_good.c,98,2,145,1
CWE563_Unused_Variable__unused_init_variable_int_04_good.c,52,2,382,1
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_wchar_t_loop_13_good.c,145,5,184,1
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_loop_09_good.c,157,3,1804,1
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_wchar_t_cpy_41_good.c,119,5,184,1
CWE590_Free_Memory_Not_on_Heap__free_struct_declare_05_good.c,116,9,197,1
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_wchar_t_loop_14_good.c,145,5,184,1
CWE191_Integer_Underflow__int_min_sub_03_good.c,79,3,1707,1
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_cpy_14_good.c,127,3,1804,1
CWE416_Use_After_Free__malloc_free_long_04_good.c,128,14,26,1
CWE134_Uncontrolled_Format_String__char_file_w32_vsnprintf_15_good.c,224,3,122,1
CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_32_good.c,130,4,55,1
CWE252_Unchecked_Return_Value__wchar_t_fputc_11_good.c,57,9,136,1
CWE665_Improper_Initialization__char_cat_01_good.c,93,2,38,1
CWE191_Integer_Underflow__int_min_postdec_15_good.c,94,3,1707,1
CWE191_Integer_Underflow__char_rand_sub_42_good.c,87,3,1707,1
CWE272_Least_Privilege_Violation__w32_char_SHRegOpenUSKey_18_good.c,82,3,1804,1
CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_memmove_07_good.c,157,3,1804,1
CWE415_Double_Free__malloc_free_struct_41_good.c,100,2,145,1
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_declare_ncpy_32_good.c,137,3,1804,1
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_16_good.c,143,3,1804,1
CWE416_Use_After_Free__malloc_free_long_10_good.c,128,14,26,1
CWE690_NULL_Deref_From_Return__long_calloc_15_good.c,97,5,56,1
CWE758_Undefined_Behavior__struct_alloca_use_11_good.c,84,7,13,1
CWE134_Uncontrolled_Format_String__wchar_t_environment_vfprintf_09_good.c,155,17,43,1
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_declare_memcpy_05_good.c,111,3,1804,1
CWE191_Integer_Underflow__short_fscanf_sub_31_good.c,81,3,1707,1
CWE369_Divide_by_Zero__int_fgets_modulo_08_good.c,122,3,870,1
CWE127_Buffer_Underread__wchar_t_declare_loop_12_good.c,164,7,1091,1
CWE690_NULL_Deref_From_Return__wchar_t_realloc_34_good.c,101,12,20,1
CWE400_Resource_Exhaustion__rand_sleep_03_good.c,73,3,870,1
CWE244_Heap_Inspection__w32_wchar_t_free_05_good.c,191,3,111,1
CWE121_Stack_Based_Buffer_Overflow__dest_wchar_t_alloca_cat_03_good.c,140,3,1804,1
CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_declare_memcpy_12_good.c,148,3,1804,1
CWE127_Buffer_Underread__malloc_char_memcpy_44_good.c,188,7,1091,1
CWE190_Integer_Overflow__int_max_postinc_15_good.c,94,3,1707,1
CWE690_NULL_Deref_From_Return__int64_t_calloc_13_good.c,91,3,870,1
CWE124_Buffer_Underwrite__char_declare_memmove_34_good.c,149,7,1091,1
CWE457_Use_of_Uninitialized_Variable__int_pointer_08_good.c,83,4,40,1
CWE369_Divide_by_Zero__float_rand_42_good.c,91,3,1707,1
CWE126_Buffer_Overread__char_declare_memcpy_03_good.c,165,3,113,1
CWE563_Unused_Variable__unused_value_long_09_good.c,66,6,21,1
CWE761_Free_Pointer_Not_at_Start_of_Buffer__wchar_t_fixed_string_41_good.c,131,35,46,1
CWE190_Integer_Overflow__int64_t_fscanf_square_07_good.c,87,3,1707,1
CWE124_Buffer_Underwrite__CWE839_negative_05_good.c,119,6,133,1
CWE459_Incomplete_Cleanup__wchar_t_01_good.c,101,2,164,1
CWE127_Buffer_Underread__char_declare_ncpy_41_good.c,142,7,1091,1
CWE190_Integer_Overflow__int_rand_preinc_03_good.c,82,3,1707,1
CWE127_Buffer_Underread__CWE839_rand_11_good.c,99,6,133,1
CWE126_Buffer_Overread__wchar_t_declare_memmove_13_good.c,172,3,1804,1
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_18_good.c,112,3,1804,1
CWE124_Buffer_Underwrite__char_alloca_memmove_04_good.c,148,7,1091,1
CWE690_NULL_Deref_From_Return__struct_calloc_32_good.c,133,6,19,1
CWE134_Uncontrolled_Format_String__wchar_t_file_w32_vsnprintf_08_good.c,231,25,51,1
CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_03_good.c,99,4,55,1
CWE191_Integer_Underflow__int64_t_rand_multiply_03_good.c,91,3,870,1
CWE252_Unchecked_Return_Value__char_fputs_08_good.c,71,5,172,1
CWE400_Resource_Exhaustion__fscanf_for_loop_06_good.c,97,3,56,1
CWE391_Unchecked_Error_Condition__sqrt_11_good.c,70,3,35,1
CWE467_Use_of_sizeof_on_Pointer_Type__char_07_good.c,96,44,12,1
CWE190_Integer_Overflow__int_fscanf_add_03_good.c,85,3,1707,1
CWE124_Buffer_Underwrite__char_declare_memmove_10_good.c,136,7,1091,1
CWE127_Buffer_Underread__CWE839_fgets_32_good.c,147,6,133,1
CWE606_Unchecked_Loop_Condition__wchar_t_environment_34_good.c,169,3,56,1
CWE563_Unused_Variable__unused_uninit_variable_int_03_good.c,51,3,38,1
CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_cpy_16_good.c,100,3,1804,1
CWE259_Hard_Coded_Password__w32_wchar_t_14_good.c,119,18,63,1
CWE191_Integer_Underflow__short_fscanf_postdec_41_good.c,83,3,1707,1
CWE194_Unexpected_Sign_Extension__negative_memcpy_15_good.c,130,6,48,1
CWE690_NULL_Deref_From_Return__long_malloc_32_good.c,121,5,56,1
CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_snprintf_02_good.c,143,3,1804,1
CWE457_Use_of_Uninitialized_Variable__int_array_malloc_partial_init_10_good.c,143,2,238,1
CWE127_Buffer_Underread__CWE839_fscanf_42_good.c,105,6,133,1
CWE121_Stack_Based_Buffer_Overflow__CWE805_struct_declare_memcpy_10_good.c,133,3,1804,1
CWE400_Resource_Exhaustion__rand_sleep_32_good.c,92,3,184,1
CWE190_Integer_Overflow__int_fscanf_square_07_good.c,85,3,1707,1
CWE369_Divide_by_Zero__int_fscanf_modulo_16_good.c,79,3,184,1
CWE191_Integer_Underflow__char_min_multiply_07_good.c,86,3,870,1
CWE191_Integer_Underflow__short_rand_predec_31_good.c,81,3,1707,1
CWE191_Integer_Underflow__short_fscanf_predec_15_good.c,100,3,1707,1
CWE127_Buffer_Underread__char_alloca_cpy_16_good.c,140,7,1091,1
CWE126_Buffer_Overread__wchar_t_alloca_memcpy_05_good.c,194,3,1804,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_01_good.c,151,6,55,1
CWE226_Sensitive_Information_Uncleared_Before_Release__w32_wchar_t_declare_13_good.c,157,3,111,1
CWE369_Divide_by_Zero__float_zero_16_good.c,84,3,1707,1
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_06_good.c,129,3,1804,1
CWE252_Unchecked_Return_Value__char_remove_07_good.c,51,13,16,1
CWE563_Unused_Variable__unused_init_variable_long_14_good.c,54,2,382,1
CWE191_Integer_Underflow__int64_t_min_multiply_34_good.c,88,3,870,1
CWE401_Memory_Leak__char_calloc_13_good.c,106,2,382,1
CWE134_Uncontrolled_Format_String__wchar_t_console_vfprintf_10_good.c,203,17,43,1
